Altitude,Kecepatan Angin,Kecepatan drone,Target
0.499750913,0.246541556,0.424690243,0
0.026143838,0.119366643,0.631303717,0
0.941764228,0.68055221,0.102489703,0
0.911474356,0.222268719,0.418810823,0
0.321912734,0.414924432,0.932431368,0
0.215272394,0.276193828,0.263635972,0
0.517026358,0.982401796,0.229217653,0
0.250804552,0.949087619,0.181385888,0
0.406278486,0.977900766,0.206630706,0
0.928790502,0.646883001,0.192838785,0
0.804735385,0.794307239,0.237317903,0
0.689994061,0.853228919,0.927642454,0
0.16956797,0.045621722,0.241770053,0
0.936463532,0.075796274,0.88243778,0
0.198680554,0.282242768,0.720062837,0
0.485562005,0.28552258,0.916747187,0
0.480160705,0.405575107,0.722741667,0
0.980600828,0.164674653,0.821981322,0
0.692815995,0.57916549,0.607839634,0
0.308731499,0.621928009,0.397587253,0
0.744142839,2.634368441,1.53494328,1
0.825520703,1.71066744,1.253701832,1
0.613365312,1.785886529,1.799605639,1
0.528364354,2.420565807,1.1629716,1
0.825714918,1.579775408,1.641627507,1
0.559987401,1.896739545,1.357654601,1
0.347611831,1.850973707,1.602621837,1
0.590214693,2.076299393,1.796149414,1
0.224876683,2.082466969,1.36210275,1
0.486095105,2.226154884,1.486540264,1
0.405972645,1.022364165,1.553912137,1
0.599993377,1.723563074,1.046552516,1
0.076197656,1.080074008,1.575368746,1
0.651651779,2.502928906,1.510054702,1
0.429909489,1.139774924,1.047009585,1
0.277459692,2.596491634,1.002779796,1
0.086938299,2.318995377,1.648003647,1
0.887855522,2.000471796,1.357058151,1
0.053226409,2.030312262,1.516689618,1
0.692454456,2.922739887,1.886692274,1
0.673702684,6.367998775,1.017414516,2
0.559885289,5.837542078,1.681056783,2
0.860326856,5.595348642,1.293506477,2
0.223753678,3.211920729,1.814479904,2
0.306580356,6.011393808,1.708566723,2
0.726574415,7.785517409,1.956209495,2
0.219303411,3.140543744,1.49964046,2
0.449856573,5.281517351,1.560411572,2
0.150397141,4.22127957,1.97319582,2
0.988636512,4.272232581,1.84838112,2
0.028197545,5.705604188,1.628819766,2
0.907275007,5.742244229,1.392645818,2
0.749345314,6.562960128,1.160563753,2
0.816188914,6.805635942,1.821779963,2
0.01430812,3.846385971,1.342477877,2
0.660448419,6.095503119,1.825674691,2
0.433251606,5.763602062,1.136787499,2
0.879932306,6.537965565,1.192322547,2
0.648525992,7.429289024,1.179220498,2
0.99171728,5.280693543,1.335116259,2
